,cor000,cor001,cor002,cor003,cor004,cor005,cor006,cor007,cor008,cor009,cor010,cor011,cor012,cor013,cor014,cor015,cor016,cor017,cor018,cor019,cor020,cor021,cor022,cor023,cor024,cor025,cor026,cor027,cor028,cor029,cor030,cor031,cor032,cor033,cor034,cor035,cor036,cor037,cor038,cor039,cor040,cor041,cor042,cor043,cor044,cor045,cor046,cor047,cor048,cor049,cor050,cor051,cor052,cor053,cor054,cor055,cor056,cor057,cor058,cor059,cor060,cor061,cor062,cor063,cor064,cor065,cor066,cor067,cor068,cor069,cor070,cor071,cor072,cor073,cor074,cor075,cor076,cor077,cor078,cor079,cor080,cor081,cor082,cor083,cor084,cor085,cor086,cor087,cor088,cor089,cor090,cor091,cor092,cor093,cor094,cor095,cor096,cor097,cor098,cor099,cor100,cor101,cor102,cor103,cor104,cor105,cor106,cor107,cor108,cor109,cor110,cor111,cor112,cor113,cor114,cor115,cor116,cor117,cor118,cor119,cor120,cor121,cor122,cor123,cor124,cor125,cor126,cor127,cor128,cor129,cor130,cor131,cor132,cor133,cor134,cor135,cor136,cor137,cor138,cor139,cor140,cor141,cor142,cor143,cor144,cor145,cor146,cor147,cor148,cor149,cor150,cor151,cor152,cor153,cor154,cor155,cor156,cor157,cor158,cor159,cor160,cor161,cor162,cor163,cor164,cor165,cor166,cor167,cor168,cor169,cor170,cor171,cor172,cor173,cor174,cor175,cor176,cor177,cor178,cor179,cor180,cor181,cor182,cor183,cor184,cor185,cor186,cor187,cor188,cor189,cor190,cor191,cor192,cor193,cor194,cor195,cor196,cor197,cor198,cor199,cor200,cor201,cor202,cor203,cor204,cor205,cor206,cor207,cor208,cor209,cor210,cor211,cor212,cor213,cor214,cor215,cor216,cor217,cor218,cor219,cor220,cor221,cor222,cor223,cor224,cor225,cor226,cor227,cor228,cor229,cor230,cor231,cor232,cor233,cor234,cor235,cor236,cor237,cor238,cor239,cor240,cor241,cor242,cor243,cor244,cor245,cor246,cor247,cor248,cor249,cor250,cor251,cor252,cor253,cor254,cor255,classe
0,2928.0,537.0,744.0,438.0,534.0,87.0,426.0,366.0,792.0,402.0,216.0,426.0,243.0,78.0,141.0,333.0,969.0,315.0,264.0,234.0,534.0,81.0,696.0,753.0,165.0,135.0,69.0,117.0,117.0,75.0,159.0,426.0,462.0,81.0,168.0,102.0,111.0,24.0,120.0,114.0,405.0,351.0,129.0,477.0,150.0,60.0,147.0,663.0,219.0,57.0,114.0,63.0,165.0,24.0,228.0,288.0,135.0,117.0,36.0,174.0,105.0,81.0,177.0,666.0,663.0,210.0,144.0,120.0,222.0,69.0,120.0,159.0,225.0,219.0,57.0,126.0,69.0,69.0,57.0,138.0,222.0,87.0,57.0,75.0,153.0,24.0,216.0,177.0,93.0,63.0,27.0,33.0,69.0,51.0,84.0,156.0,432.0,96.0,135.0,81.0,135.0,21.0,120.0,75.0,597.0,480.0,132.0,378.0,186.0,129.0,213.0,708.0,141.0,60.0,51.0,45.0,162.0,39.0,195.0,198.0,156.0,108.0,57.0,138.0,192.0,126.0,249.0,669.0,684.0,198.0,240.0,162.0,132.0,21.0,111.0,78.0,324.0,195.0,99.0,189.0,69.0,18.0,60.0,135.0,711.0,213.0,213.0,207.0,597.0,96.0,690.0,861.0,99.0,153.0,51.0,174.0,159.0,108.0,165.0,735.0,120.0,21.0,60.0,39.0,27.0,3.0,51.0,33.0,93.0,63.0,45.0,126.0,24.0,18.0,36.0,135.0,84.0,39.0,72.0,48.0,132.0,21.0,129.0,144.0,60.0,111.0,45.0,162.0,111.0,87.0,153.0,813.0,552.0,147.0,144.0,120.0,117.0,33.0,102.0,93.0,276.0,186.0,51.0,141.0,93.0,39.0,42.0,141.0,633.0,192.0,138.0,168.0,588.0,93.0,552.0,789.0,192.0,180.0,51.0,162.0,228.0,126.0,216.0,651.0,363.0,96.0,156.0,72.0,129.0,21.0,93.0,75.0,765.0,768.0,159.0,768.0,261.0,180.0,210.0,984.0,507.0,183.0,180.0,207.0,813.0,96.0,903.0,1143.0,504.0,768.0,192.0,696.0,765.0,762.0,873.0,4287.0,laranja
1,2898.0,477.0,621.0,330.0,627.0,78.0,405.0,336.0,927.0,486.0,324.0,630.0,345.0,96.0,336.0,723.0,837.0,222.0,147.0,129.0,414.0,75.0,399.0,366.0,186.0,111.0,75.0,165.0,111.0,72.0,153.0,459.0,762.0,123.0,210.0,141.0,198.0,42.0,141.0,99.0,624.0,573.0,213.0,687.0,210.0,96.0,237.0,972.0,321.0,93.0,105.0,69.0,216.0,30.0,153.0,123.0,168.0,168.0,81.0,159.0,126.0,81.0,171.0,603.0,678.0,183.0,114.0,111.0,210.0,45.0,120.0,117.0,228.0,198.0,36.0,162.0,102.0,51.0,69.0,165.0,255.0,96.0,57.0,81.0,192.0,60.0,141.0,162.0,57.0,93.0,9.0,66.0,63.0,36.0,57.0,180.0,582.0,96.0,108.0,111.0,201.0,39.0,132.0,69.0,576.0,549.0,189.0,627.0,147.0,117.0,159.0,783.0,321.0,99.0,72.0,81.0,237.0,57.0,159.0,186.0,162.0,243.0,72.0,216.0,201.0,171.0,132.0,648.0,504.0,87.0,183.0,132.0,99.0,18.0,93.0,96.0,267.0,126.0,96.0,216.0,93.0,36.0,63.0,267.0,453.0,138.0,120.0,138.0,333.0,99.0,351.0,585.0,153.0,129.0,87.0,150.0,129.0,84.0,180.0,774.0,78.0,21.0,42.0,30.0,24.0,15.0,36.0,42.0,126.0,96.0,57.0,165.0,21.0,45.0,36.0,186.0,117.0,42.0,39.0,24.0,87.0,21.0,117.0,120.0,114.0,93.0,51.0,132.0,72.0,87.0,123.0,756.0,426.0,120.0,117.0,135.0,69.0,27.0,78.0,126.0,162.0,138.0,63.0,201.0,51.0,15.0,69.0,249.0,543.0,177.0,147.0,180.0,462.0,138.0,351.0,768.0,153.0,183.0,48.0,204.0,165.0,135.0,171.0,708.0,456.0,129.0,144.0,114.0,120.0,27.0,132.0,135.0,555.0,735.0,204.0,900.0,171.0,111.0,207.0,1050.0,744.0,312.0,153.0,252.0,903.0,192.0,639.0,939.0,549.0,873.0,216.0,936.0,693.0,849.0,654.0,4269.0,laranja
2,2913.0,504.0,684.0,459.0,633.0,123.0,420.0,402.0,693.0,393.0,234.0,405.0,195.0,75.0,171.0,405.0,960.0,273.0,237.0,243.0,534.0,102.0,657.0,666.0,177.0,150.0,90.0,144.0,138.0,75.0,159.0,447.0,435.0,117.0,216.0,132.0,144.0,12.0,171.0,126.0,381.0,324.0,144.0,393.0,102.0,66.0,153.0,639.0,228.0,96.0,66.0,87.0,180.0,51.0,225.0,279.0,156.0,105.0,66.0,135.0,123.0,84.0,189.0,729.0,639.0,174.0,111.0,114.0,204.0,72.0,120.0,126.0,249.0,141.0,48.0,120.0,81.0,63.0,75.0,117.0,207.0,78.0,51.0,45.0,168.0,45.0,201.0,180.0,75.0,78.0,30.0,42.0,78.0,54.0,87.0,228.0,375.0,111.0,126.0,87.0,150.0,33.0,126.0,75.0,468.0,423.0,126.0,477.0,147.0,114.0,162.0,672.0,189.0,69.0,66.0,33.0,204.0,51.0,201.0,267.0,141.0,171.0,57.0,150.0,183.0,114.0,216.0,864.0,621.0,129.0,231.0,168.0,156.0,27.0,66.0,108.0,255.0,126.0,132.0,210.0,99.0,54.0,42.0,108.0,570.0,171.0,198.0,201.0,603.0,120.0,717.0,879.0,168.0,207.0,78.0,204.0,177.0,120.0,174.0,852.0,90.0,9.0,63.0,36.0,27.0,9.0,45.0,6.0,108.0,63.0,51.0,108.0,54.0,36.0,42.0,96.0,111.0,42.0,48.0,48.0,75.0,21.0,144.0,165.0,78.0,96.0,60.0,138.0,141.0,114.0,177.0,891.0,462.0,144.0,129.0,102.0,120.0,45.0,90.0,126.0,219.0,177.0,72.0,192.0,81.0,48.0,66.0,153.0,594.0,192.0,126.0,150.0,660.0,159.0,702.0,981.0,186.0,237.0,87.0,198.0,189.0,171.0,303.0,855.0,384.0,75.0,123.0,93.0,117.0,33.0,120.0,108.0,684.0,639.0,177.0,705.0,246.0,120.0,273.0,1044.0,492.0,183.0,147.0,213.0,894.0,126.0,903.0,1227.0,441.0,813.0,183.0,789.0,891.0,828.0,942.0,5175.0,laranja
3,2907.0,480.0,624.0,432.0,558.0,111.0,462.0,420.0,819.0,531.0,252.0,630.0,369.0,90.0,285.0,717.0,753.0,231.0,168.0,135.0,408.0,87.0,357.0,369.0,174.0,135.0,90.0,129.0,135.0,66.0,162.0,447.0,603.0,156.0,168.0,81.0,159.0,24.0,192.0,102.0,666.0,564.0,216.0,657.0,201.0,96.0,225.0,891.0,360.0,105.0,78.0,57.0,183.0,42.0,141.0,141.0,153.0,165.0,72.0,237.0,147.0,111.0,174.0,795.0,612.0,234.0,102.0,87.0,207.0,75.0,75.0,111.0,222.0,165.0,78.0,162.0,84.0,60.0,108.0,213.0,285.0,111.0,72.0,84.0,195.0,51.0,114.0,153.0,72.0,60.0,36.0,81.0,72.0,45.0,63.0,210.0,474.0,72.0,144.0,90.0,174.0,42.0,90.0,96.0,576.0,531.0,150.0,576.0,180.0,87.0,162.0,837.0,243.0,87.0,81.0,57.0,192.0,63.0,177.0,147.0,141.0,195.0,105.0,231.0,156.0,144.0,234.0,852.0,453.0,99.0,204.0,147.0,114.0,45.0,117.0,117.0,213.0,183.0,117.0,234.0,105.0,27.0,81.0,342.0,360.0,138.0,147.0,120.0,342.0,78.0,381.0,639.0,120.0,93.0,99.0,162.0,186.0,81.0,162.0,774.0,96.0,9.0,66.0,60.0,42.0,6.0,33.0,27.0,81.0,111.0,57.0,144.0,45.0,30.0,48.0,129.0,123.0,60.0,36.0,48.0,72.0,27.0,102.0,129.0,45.0,117.0,27.0,156.0,126.0,84.0,165.0,801.0,333.0,132.0,105.0,117.0,60.0,45.0,87.0,102.0,195.0,162.0,63.0,201.0,57.0,36.0,48.0,219.0,462.0,183.0,102.0,153.0,441.0,147.0,387.0,783.0,141.0,171.0,60.0,216.0,159.0,174.0,186.0,1011.0,444.0,117.0,117.0,171.0,105.0,30.0,102.0,102.0,528.0,855.0,168.0,903.0,147.0,108.0,147.0,1152.0,798.0,339.0,156.0,258.0,939.0,216.0,750.0,1047.0,570.0,948.0,222.0,981.0,810.0,858.0,909.0,5538.0,laranja
4,2709.0,423.0,804.0,396.0,627.0,135.0,471.0,417.0,681.0,372.0,222.0,432.0,183.0,96.0,189.0,480.0,729.0,285.0,216.0,198.0,594.0,102.0,699.0,600.0,201.0,180.0,84.0,159.0,162.0,114.0,147.0,567.0,471.0,87.0,207.0,105.0,138.0,30.0,87.0,102.0,312.0,267.0,141.0,420.0,168.0,75.0,126.0,732.0,222.0,81.0,93.0,45.0,156.0,45.0,186.0,204.0,159.0,111.0,48.0,153.0,120.0,138.0,165.0,798.0,684.0,237.0,174.0,138.0,183.0,60.0,150.0,159.0,201.0,162.0,72.0,117.0,51.0,57.0,75.0,138.0,255.0,114.0,60.0,75.0,150.0,60.0,180.0,180.0,105.0,66.0,33.0,54.0,102.0,60.0,48.0,204.0,339.0,96.0,150.0,57.0,147.0,54.0,126.0,123.0,483.0,363.0,120.0,387.0,132.0,96.0,144.0,654.0,177.0,63.0,57.0,51.0,192.0,42.0,138.0,231.0,135.0,168.0,51.0,156.0,156.0,153.0,192.0,810.0,468.0,60.0,153.0,168.0,105.0,36.0,117.0,99.0,246.0,93.0,87.0,138.0,96.0,48.0,39.0,162.0,501.0,159.0,198.0,120.0,693.0,90.0,930.0,870.0,156.0,174.0,78.0,168.0,102.0,141.0,192.0,933.0,90.0,48.0,81.0,33.0,33.0,6.0,36.0,33.0,138.0,81.0,78.0,126.0,45.0,18.0,48.0,105.0,99.0,42.0,57.0,51.0,126.0,30.0,144.0,135.0,84.0,126.0,69.0,168.0,132.0,156.0,156.0,957.0,405.0,120.0,144.0,126.0,99.0,30.0,153.0,108.0,168.0,150.0,78.0,147.0,66.0,33.0,60.0,153.0,633.0,168.0,144.0,171.0,819.0,144.0,828.0,993.0,192.0,171.0,69.0,219.0,192.0,168.0,231.0,885.0,381.0,84.0,132.0,99.0,144.0,21.0,123.0,162.0,570.0,594.0,174.0,732.0,186.0,117.0,216.0,1047.0,408.0,156.0,120.0,120.0,969.0,168.0,906.0,1260.0,501.0,894.0,168.0,813.0,723.0,1026.0,1023.0,5736.0,laranja
5,2901.0,546.0,798.0,474.0,522.0,90.0,417.0,354.0,594.0,447.0,192.0,657.0,297.0,99.0,171.0,582.0,669.0,189.0,198.0,138.0,378.0,126.0,411.0,351.0,147.0,129.0,72.0,186.0,147.0,81.0,171.0,375.0,501.0,111.0,195.0,117.0,177.0,48.0,177.0,90.0,549.0,528.0,192.0,729.0,207.0,93.0,150.0,822.0,240.0,111.0,96.0,87.0,153.0,51.0,192.0,141.0,132.0,147.0,78.0,180.0,174.0,129.0,153.0,900.0,663.0,246.0,123.0,93.0,180.0,57.0,87.0,111.0,213.0,183.0,51.0,195.0,138.0,54.0,60.0,177.0,264.0,102.0,81.0,63.0,174.0,57.0,162.0,132.0,75.0,63.0,45.0,78.0,93.0,45.0,69.0,207.0,372.0,96.0,147.0,84.0,132.0,48.0,99.0,81.0,516.0,720.0,165.0,690.0,207.0,162.0,138.0,924.0,231.0,84.0,54.0,81.0,195.0,45.0,153.0,156.0,159.0,210.0,51.0,225.0,180.0,153.0,222.0,906.0,417.0,162.0,225.0,129.0,99.0,36.0,129.0,84.0,195.0,156.0,96.0,240.0,93.0,75.0,66.0,267.0,462.0,192.0,171.0,192.0,360.0,111.0,384.0,753.0,123.0,138.0,69.0,183.0,111.0,84.0,174.0,708.0,93.0,39.0,75.0,48.0,36.0,15.0,51.0,36.0,108.0,102.0,54.0,201.0,51.0,27.0,60.0,156.0,135.0,30.0,42.0,36.0,105.0,39.0,159.0,138.0,93.0,120.0,36.0,159.0,111.0,114.0,168.0,972.0,384.0,141.0,150.0,81.0,105.0,60.0,78.0,93.0,135.0,186.0,57.0,141.0,78.0,48.0,69.0,210.0,462.0,177.0,123.0,153.0,474.0,150.0,486.0,744.0,153.0,120.0,51.0,201.0,204.0,138.0,228.0,1002.0,333.0,123.0,120.0,123.0,78.0,30.0,105.0,120.0,345.0,810.0,150.0,897.0,192.0,141.0,141.0,969.0,684.0,276.0,183.0,279.0,726.0,186.0,828.0,1017.0,414.0,801.0,210.0,969.0,783.0,1056.0,945.0,5751.0,laranja
6,2661.0,435.0,690.0,420.0,366.0,45.0,363.0,375.0,900.0,420.0,183.0,573.0,249.0,60.0,120.0,492.0,918.0,267.0,180.0,210.0,444.0,102.0,576.0,756.0,183.0,177.0,63.0,135.0,132.0,75.0,129.0,525.0,426.0,51.0,189.0,111.0,111.0,18.0,93.0,81.0,576.0,504.0,141.0,612.0,150.0,90.0,150.0,813.0,228.0,66.0,84.0,66.0,147.0,24.0,159.0,267.0,138.0,132.0,66.0,174.0,147.0,105.0,159.0,804.0,732.0,177.0,162.0,126.0,162.0,42.0,126.0,93.0,249.0,204.0,78.0,135.0,54.0,18.0,33.0,129.0,231.0,63.0,42.0,63.0,147.0,45.0,108.0,135.0,36.0,51.0,12.0,54.0,30.0,30.0,51.0,129.0,525.0,99.0,138.0,81.0,120.0,36.0,117.0,102.0,702.0,744.0,108.0,633.0,174.0,138.0,156.0,813.0,222.0,60.0,57.0,42.0,156.0,27.0,93.0,219.0,153.0,177.0,33.0,171.0,177.0,108.0,177.0,693.0,477.0,120.0,138.0,147.0,81.0,30.0,96.0,60.0,279.0,153.0,63.0,156.0,63.0,30.0,54.0,147.0,594.0,153.0,165.0,174.0,525.0,87.0,648.0,789.0,156.0,174.0,63.0,174.0,105.0,108.0,153.0,786.0,72.0,12.0,57.0,18.0,12.0,3.0,21.0,12.0,96.0,69.0,42.0,129.0,42.0,27.0,36.0,108.0,81.0,36.0,60.0,45.0,129.0,18.0,129.0,117.0,90.0,87.0,42.0,129.0,93.0,102.0,147.0,768.0,555.0,156.0,153.0,111.0,90.0,15.0,99.0,105.0,258.0,198.0,33.0,135.0,69.0,30.0,42.0,189.0,678.0,219.0,141.0,165.0,609.0,108.0,606.0,843.0,171.0,204.0,48.0,153.0,186.0,120.0,180.0,594.0,567.0,78.0,123.0,126.0,153.0,15.0,123.0,75.0,933.0,981.0,231.0,855.0,243.0,105.0,267.0,1086.0,750.0,156.0,168.0,195.0,966.0,114.0,876.0,1200.0,798.0,918.0,156.0,729.0,837.0,816.0,828.0,4578.0,laranja
7,2634.0,360.0,615.0,480.0,393.0,48.0,435.0,444.0,897.0,468.0,180.0,747.0,183.0,81.0,195.0,747.0,753.0,156.0,225.0,156.0,405.0,39.0,606.0,471.0,189.0,138.0,57.0,153.0,114.0,63.0,159.0,657.0,513.0,78.0,228.0,78.0,123.0,12.0,108.0,81.0,690.0,549.0,231.0,852.0,183.0,93.0,231.0,1185.0,216.0,63.0,57.0,27.0,159.0,27.0,138.0,105.0,180.0,126.0,48.0,147.0,156.0,90.0,150.0,912.0,840.0,207.0,153.0,120.0,138.0,21.0,117.0,144.0,267.0,171.0,60.0,183.0,87.0,33.0,27.0,156.0,243.0,66.0,48.0,42.0,195.0,42.0,111.0,93.0,66.0,27.0,33.0,45.0,42.0,12.0,42.0,99.0,531.0,102.0,159.0,78.0,141.0,18.0,138.0,99.0,798.0,753.0,195.0,819.0,177.0,150.0,171.0,984.0,219.0,75.0,54.0,39.0,171.0,42.0,156.0,132.0,231.0,192.0,45.0,183.0,195.0,129.0,141.0,576.0,525.0,114.0,156.0,144.0,72.0,21.0,75.0,81.0,201.0,138.0,51.0,174.0,36.0,9.0,33.0,225.0,618.0,165.0,201.0,180.0,411.0,84.0,582.0,864.0,132.0,75.0,30.0,129.0,99.0,93.0,132.0,762.0,90.0,9.0,60.0,15.0,9.0,9.0,24.0,6.0,96.0,84.0,45.0,165.0,33.0,24.0,30.0,168.0,75.0,18.0,24.0,18.0,93.0,9.0,93.0,69.0,87.0,105.0,27.0,135.0,96.0,72.0,141.0,786.0,615.0,174.0,129.0,141.0,90.0,12.0,63.0,72.0,153.0,210.0,51.0,171.0,36.0,27.0,27.0,150.0,705.0,192.0,165.0,156.0,582.0,111.0,609.0,771.0,162.0,183.0,45.0,225.0,135.0,87.0,132.0,567.0,588.0,99.0,114.0,93.0,84.0,12.0,102.0,108.0,879.0,1362.0,147.0,960.0,147.0,84.0,108.0,963.0,762.0,177.0,105.0,147.0,1008.0,165.0,843.0,819.0,846.0,858.0,120.0,813.0,888.0,798.0,630.0,3795.0,laranja
8,2940.0,477.0,576.0,363.0,561.0,57.0,372.0,396.0,813.0,432.0,240.0,375.0,213.0,78.0,156.0,399.0,915.0,252.0,219.0,249.0,501.0,96.0,615.0,822.0,219.0,189.0,45.0,180.0,147.0,84.0,168.0,474.0,519.0,120.0,174.0,90.0,108.0,30.0,156.0,105.0,450.0,546.0,159.0,522.0,165.0,66.0,159.0,789.0,237.0,90.0,57.0,81.0,159.0,39.0,195.0,279.0,135.0,162.0,63.0,177.0,105.0,111.0,141.0,705.0,564.0,222.0,168.0,135.0,189.0,36.0,153.0,141.0,228.0,171.0,63.0,126.0,99.0,69.0,57.0,153.0,237.0,78.0,48.0,63.0,159.0,33.0,168.0,177.0,66.0,99.0,27.0,75.0,54.0,63.0,60.0,165.0,366.0,105.0,96.0,84.0,171.0,33.0,129.0,126.0,561.0,750.0,141.0,696.0,177.0,162.0,198.0,756.0,180.0,60.0,63.0,63.0,162.0,48.0,192.0,270.0,183.0,195.0,72.0,195.0,174.0,123.0,198.0,825.0,525.0,81.0,162.0,132.0,102.0,18.0,108.0,81.0,294.0,144.0,84.0,150.0,87.0,30.0,60.0,156.0,441.0,183.0,132.0,213.0,522.0,105.0,669.0,807.0,147.0,156.0,99.0,189.0,168.0,96.0,225.0,840.0,72.0,9.0,54.0,27.0,33.0,9.0,30.0,39.0,117.0,72.0,66.0,147.0,39.0,18.0,39.0,156.0,81.0,33.0,36.0,45.0,126.0,18.0,126.0,138.0,87.0,87.0,36.0,141.0,87.0,81.0,126.0,840.0,468.0,114.0,108.0,120.0,108.0,45.0,108.0,129.0,252.0,174.0,54.0,147.0,87.0,33.0,72.0,222.0,597.0,207.0,159.0,159.0,633.0,147.0,660.0,852.0,186.0,201.0,66.0,225.0,171.0,180.0,195.0,744.0,435.0,141.0,132.0,114.0,105.0,45.0,141.0,138.0,600.0,807.0,210.0,870.0,228.0,141.0,297.0,1149.0,564.0,198.0,186.0,126.0,882.0,123.0,816.0,1185.0,570.0,870.0,195.0,672.0,741.0,765.0,825.0,4701.0,laranja
